Tarih,İşlenmemiş gıda,Diğer işlenmemiş gıda,Taze meyve ve sebze,İşlenmiş gıda,Ekmek ve diğer tahıllar,Diğer işlenmiş gıda,Dönem,SA Taze meyve ve sebze,SA Diğer işlenmemiş gıda,SA İşlenmemiş gıda,SA Web-GFE
2024-11-16,105.0251379803397,101.27994227511982,109.76219346793596,101.56145205226632,102.9744234741508,101.24954002131248,2024-11,107.9176480035329,102.02944773939194,104.6292846299146,102.81037896595672
2024-11-17,105.04590119662878,101.31712124889704,109.76219346793596,101.5820483003684,103.06386071739914,101.25493968845306,2024-11,107.9176480035329,102.06690185001636,104.65020150095222,102.83110574093836
2024-11-18,105.4772999352614,101.67504179079349,110.28653026343171,101.75941160341502,103.2278199743775,101.43526192128932,2024-11,108.4331733583368,102.42747112369425,105.07918905492802,103.11090628303525
2024-11-19,105.9399368794046,102.7485736595913,109.97648621818152,101.8486308656612,103.22156850324124,101.5455562526309,2024-11,108.12833958011355,103.5089474875585,105.54856323350245,103.35488813233832
2024-11-20,106.00527423286208,102.9017839081152,109.9306786520092,101.88052954102412,103.29510766814872,101.56826283149232,2024-11,108.08330180666995,103.66329154319043,105.61487355874527,103.40079592801395
2024-11-21,105.68852624351578,103.07359623069874,108.9959825046048,101.9893031205426,102.98970961062444,101.76846438646214,2024-11,107.16431315822139,103.83637533445486,105.30577092826388,103.33945043093664
2024-11-22,105.3559804201952,102.42885052708418,109.0583178892075,101.75166907525605,102.94781213955956,101.48762168780026,2024-11,107.22560100134093,103.18685829688147,104.97009796322368,103.0619043492627
2024-11-23,104.98047751103525,101.9127041825257,108.86070515240638,101.723113541505,102.94781213955956,101.4527625484778,2024-11,107.03130913182441,102.66689229665455,104.59392795860279,102.89183357396266
2024-11-24,104.96213185446558,101.8793740009768,108.86131243946804,101.64838114851727,102.83423590522852,101.38660489469274,2024-11,107.03190621347235,102.63331546060887,104.57544004751347,102.83999853453369
2024-11-25,105.43111860160354,102.1370397684888,109.59758515396518,101.8411670606079,102.94781213955956,101.59687626408174,2024-11,107.75580591998579,102.89288804102348,105.04002854748737,103.14343636736196
2024-11-26,105.58220141204347,102.71671345789348,109.20657101801685,101.9906061101458,103.1324660149682,101.73854167596008,2024-11,107.37136274739188,103.47685150970669,105.19640817083973,103.29570095226202
2024-11-27,105.90641333848151,103.05863862183102,109.5083786826812,102.00693651306054,103.1324660149682,101.75847699901723,2024-11,107.66809855678996,103.82130703427623,105.51979384887849,103.43703478590085
2024-11-28,105.90693535320486,103.266009427361,109.24727049072202,102.01115527195952,103.1324660149682,101.763627044732,2024-11,107.4113782684976,104.03021245315989,105.52310998132702,103.44088608196135
2024-11-29,106.92514197432573,104.06287363275838,110.54543898649912,103.71282059311514,104.64730419514083,103.5065342707689,2024-11,108.68773113964785,104.8329737203329,106.53497774417414,104.86173205793934
2024-11-30,107.07186895705888,104.05872101632552,110.8830036836126,103.80810325639514,104.64730419514083,103.62285048685686,2024-11,109.01962308723502,104.82879037314883,106.67918285358869,104.9769312447305
2024-12-01,107.08220940369142,104.03577366964376,110.93544770471952,103.77090322361822,104.64730419514083,103.57743858397748,2024-12,108.2616828598146,104.06845454497243,105.919904763081,104.64577034633915
2024-12-02,108.18974676693615,104.05319869179674,113.42179602104824,103.9283038391511,104.64730419514083,103.76958522827206,2024-12,110.6881052385108,104.08588504086732,107.00098555701653,105.17920485722045
2024-12-03,108.21286515999572,104.33721232929511,113.114924961916,103.95650900725336,104.64730419514083,103.80401665907851,2024-12,110.38863038200634,104.3699878958911,107.02741937993255,105.20668890361202
2024-12-04,108.5091412563372,104.23554488881288,113.9145338604644,104.05102183619104,104.72256421991356,103.90277952531746,2024-12,111.16896711636514,104.26828851850073,107.31516837712681,105.37986894959162
2024-12-05,108.45924583423506,104.2511459592223,113.78179613865916,104.193513449623,104.73892096418864,104.07311528520808,2024-12,111.0394286375566,104.28389448969205,107.26668823055101,105.44461519563738
2024-12-06,108.46406735739,104.3804778169754,113.62913282084588,104.1299243190322,104.73892096418864,103.99548891751397,2024-12,110.89044480921869,104.41326697460799,107.27315711514031,105.40954696325846
2024-12-07,108.07357015157942,103.89895267411792,113.35377076942476,104.12380169454956,104.73892096418864,103.98801472978842,2024-12,110.62171953069517,103.93159056971241,106.88550573816235,105.24810245751996
2024-12-08,108.07229635987962,103.89667180069512,113.35377076942476,104.13320276150417,104.73892096418864,103.99949107288909,2024-12,110.62171953069517,103.92930897979626,106.8842315463249,105.25315758391929
2024-12-09,107.79339847470254,103.9641033700742,112.63682405018828,104.18326275710928,104.73892096418864,104.06060176255416,2024-12,109.92205265278288,103.99676173153054,106.61297538478647,105.17240848668663
2024-12-10,108.0656057168854,104.4767763677266,112.6048819551674,104.40492577808794,104.75326431552888,104.32803039365916,2024-12,109.89088042575737,104.50959577573194,106.88561250816902,105.41482326865034
2024-12-11,108.4430096832326,104.6371138331724,113.25683942589392,104.40885496479528,104.75326431552888,104.33282694441004,2024-12,110.52712442525653,104.66998360816723,107.25610671644372,105.56798254189783
2024-12-12,108.66514825756173,105.10401801889914,113.1693899715834,104.36351956035844,104.75326431552888,104.27748379469756,2024-12,110.44178267665667,105.13703446303425,107.47925780497789,105.63194906269547
2024-12-13,108.45710118908016,104.86597755672965,112.9992794998638,104.67490547384072,106.40060382519768,104.2939592853696,2024-12,110.27577220550899,104.89891922494498,107.27297922744158,105.7325916912261
2024-12-14,108.38982031138748,104.68308520331594,113.07822802893084,104.7291661489232,106.66535891004229,104.30175352961248,2024-12,110.35281791806476,104.71596941934929,107.20482611848293,105.7370172251703
2024-12-15,108.43847283674758,104.64380992127276,113.2380947551036,104.72402270815972,106.66535891004229,104.29547467943462,2024-12,110.50883153829929,104.67668179971731,107.25177051294565,105.75307895047877
2024-12-16,108.0866740480632,104.62280652051324,112.46789456141818,104.8072817422443,106.66535891004229,104.39711306218427,2024-12,109.75719470054764,104.65567180113574,106.9081643857561,105.662559469948
2024-12-17,108.38299016792776,105.1617023571068,112.45738748334728,105.0266216097952,107.32161275639352,104.52000460504226,2024-12,109.7469408639478,105.19473692168836,107.20468685738324,105.91332068434875
2024-12-18,108.07728755729008,104.95133725424196,112.03109892502697,105.20843757639372,108.26951171895364,104.5327085149858,2024-12,109.33092670740442,104.98430573659567,106.90348393062683,105.89849772738691
2024-12-19,107.6173844563236,104.7597673909965,111.2317982969385,105.22398122885672,108.3930651446731,104.52440911781768,2024-12,108.55089081357458,104.79267569529226,106.45205307186248,105.7239341884312
2024-12-20,107.21035759929327,104.46070227692626,110.68821753433495,105.1041144197728,108.68181464581863,104.31434066613116,2024-12,108.02041142806453,104.49351663555925,106.0507583697422,105.48949695838061
2024-12-21,107.11856871698735,104.24795828970828,110.7494167436084,105.10329762957782,108.68181464581863,104.31334357031594,2024-12,108.0801356147219,104.28070581883179,105.95828085079228,105.45136471886659
2024-12-22,107.11856871698735,104.24795828970828,110.7494167436084,105.11644906747328,108.68181464581863,104.32939817499904,2024-12,108.0801356147219,104.28070581883179,105.95828085079228,105.45916215378904
2024-12-23,107.31137974835836,104.24013606362394,111.19599579737108,105.16210953221584,108.76983012855518,104.3657088117982,2024-12,108.51595122542713,104.27288113554272,106.14633816042264,105.5627929436728
2024-12-24,107.96839590590224,105.25138847856368,111.40496170229858,105.19778874025698,108.76983012855518,104.40926416939948,2024-12,108.71988063659235,105.28445121634809,106.8013079367166,105.85058781921194
2024-12-25,108.3451401897786,105.36054990633151,112.12015411959275,105.29566080592888,108.82201382369593,104.51722189726004,2024-12,109.41783549472696,105.39364693511877,107.17046046087526,106.05889924465563
2024-12-26,108.11062485169109,105.33289391122304,111.623995664822,105.36508785393328,108.83976982642665,104.59805527693057,2024-12,108.93363544514874,105.36598225240125,106.94122018029279,106.00673762852301
2024-12-27,108.69148856330588,105.50985961933551,112.71572402904108,105.41211843521462,108.83976982642665,104.6554678120839,2024-12,109.99905098528112,105.5430035509519,107.5104971799034,106.26637681569187
2024-12-28,108.80845054291044,105.47668656760878,113.02258217450895,105.42455932340464,108.83976982642665,104.67065501392337,2024-12,110.2985132393662,105.50982007853688,107.62418789525955,106.32003691352052
2024-12-29,108.80845054291044,105.47668656760878,113.02258217450895,105.42455932340464,108.83976982642665,104.67065501392337,2024-12,110.2985132393662,105.50982007853688,107.62418789525955,106.32003691352052
2024-12-30,109.7097173404715,105.57333003925892,114.94156405566612,105.4495976133948,108.87009091085638,104.69452713231424,2024-12,112.17124384198249,105.60649390891015,108.50505005296608,106.69348452335349
2024-12-31,109.77942250842489,105.5905340809636,115.0776745871849,105.47243925728615,108.87009091085638,104.72241104629413,2024-12,112.30407383908485,105.62370335493992,108.57330983025102,106.7348160710219
2025-01-01,110.15572997464112,105.81982397811376,115.639935367837,105.58964353958449,108.87009091085638,104.86548805691656,2025-01,114.24526930903313,104.30633092816521,108.69470385980183,106.8537260161857
2025-01-02,110.2665847767057,106.0645508186372,115.58146438069645,105.8596577485232,109.13212496600752,105.13726387683808,2025-01,114.18750350648934,104.54755755144822,108.80391535048392,107.05827679531129
2025-01-03,110.92300124864664,106.32524278373803,116.73840610721489,105.79117127341163,109.12176442966384,105.05594615876478,2025-01,115.33049203117609,104.80452095735735,109.45208841068356,107.28154528366304
2025-01-04,110.6963315714296,106.32775724154618,116.2218566177158,105.90080988486548,109.12381342233184,105.18933507116972,2025-01,114.8201723448882,104.80699945201347,109.2281493977134,107.25538310990338
2025-01-05,110.57263492074632,106.34066831191144,115.92537401157944,105.90689305621376,109.12381342233184,105.1967610965209,2025-01,114.52726544316994,104.81972586118265,109.10592850193834,107.20923318230948
2025-01-06,110.674260536529,106.32425751410432,116.17629633228243,105.9066686858724,109.12381342233184,105.19648719665064,2025-01,114.77516153558106,104.80354977958929,109.20634909656852,107.2499817797879
2025-01-07,111.01891194809296,106.3564223459859,116.91619205796223,105.978932976786,109.36385272780473,105.23171532057324,2025-01,115.50613380888797,104.83525457243778,109.54680381477368,107.4314274664136
2025-01-08,111.85505407489217,106.51157476689926,118.61367399732563,106.02615059294646,109.36915807074578,105.28818502921008,2025-01,117.18314340503592,104.98818791849439,110.37266767969994,107.79563508503162
2025-01-09,111.87793026706568,106.53082249596176,118.64113939487451,106.13264292284556,109.1821058167765,105.4594770329821,2025-01,117.2102775583859,105.00716035599933,110.39524378708566,107.86796478508062
2025-01-10,111.61244825936043,106.32503109580546,118.3001588668148,106.19278618606968,109.1821058167765,105.532896861528,2025-01,116.87340939832158,104.80431229710146,110.13322138162115,107.79695311591892
2025-01-11,111.5032387355914,106.40097624814518,117.95675939201402,106.26021117981962,109.1821058167765,105.61520585534464,2025-01,116.53415146502714,104.87917124029887,110.025233905846,107.79296699167531
2025-01-12,111.5129916326948,106.4682602735509,117.89374491009028,106.28597666425814,109.181035451751,105.6468953267648,2025-01,116.47189696415036,104.94549293274092,110.03478491868515,107.81213149986786
2025-01-13,111.3137826790028,106.54253353839796,117.34862626413408,106.429681173145,109.181035451751,105.82232246254272,2025-01,115.93335267739904,105.0187039006958,109.83788552900796,107.8171747992337
2025-01-14,110.78235547372908,106.55916370877917,116.1239962827759,106.55374862658508,109.181035451751,105.97377768248566,2025-01,114.72349224657859,105.0350962172766,109.31284634075126,107.67698834241244
2025-01-15,110.3944584088098,106.5852281307788,115.21250614419884,106.75800563094712,109.181035451751,106.2231242166714,2025-01,113.82299506086996,105.06078785164473,108.92959470654723,107.64206822997969
2025-01-16,109.96381175537982,106.55310823220456,114.2777889780336,106.9143554322639,109.72759009554748,106.29333668851302,2025-01,112.89955097525501,105.02912734944283,108.50418199577334,107.56158018557431
2025-01-17,109.73786714539604,106.55310823220456,113.76606158495612,107.16580877679388,110.20809996145891,106.49422603459207,2025-01,112.39399522888604,105.02912734944283,108.28096226467312,107.61979222232293
2025-01-18,109.6644863242148,106.53758772564356,113.61949695389372,107.2948120586737,110.20809996145891,106.65170666217588,2025-01,112.24919822866599,105.01382882566283,108.208485842518,107.66677231077131
2025-01-19,109.6644863242148,106.53758772564356,113.61949695389372,107.31292898589406,110.20809996145891,106.67382288299584,2025-01,112.24919822866599,105.01382882566283,108.208485842518,107.67751376445256
2025-01-20,109.69650149242617,106.59491463891324,113.61949695389372,107.42558782365546,110.20809996145891,106.8113510467371,2025-01,112.24919822866599,105.07033581803728,108.24004311226801,107.75715582947024
