,Grup,Ağırlık
54,Kuru meyve ve sert kabuklu yemişler,0.19808629800213
55,Kuru meyve ve sert kabuklu yemişler,0.38521412591165
56,Kuru meyve ve sert kabuklu yemişler,0.16073172679559
57,Kuru meyve ve sert kabuklu yemişler,0.72757477573601
58,Kuru meyve ve sert kabuklu yemişler,0.13765416525747
59,Kuru meyve ve sert kabuklu yemişler,0.14420284164017
60,Kuru meyve ve sert kabuklu yemişler,0.14224594705271
61,Taze sebzeler (patates hariç),0.21725379479288
62,Taze sebzeler (patates hariç),0.20568595293927
63,Taze sebzeler (patates hariç),0.72747141622058
64,Taze sebzeler (patates hariç),0.05438611837115
65,Taze sebzeler (patates hariç),3.17496883486654
66,Taze sebzeler (patates hariç),0.48555186870818
67,Taze sebzeler (patates hariç),0.31331282722079
68,Taze sebzeler (patates hariç),0.28802589533166
69,Taze sebzeler (patates hariç),0.23969123784891
70,Taze sebzeler (patates hariç),0.18981216178923
71,Taze sebzeler (patates hariç),1.0652732673399
72,Taze sebzeler (patates hariç),0.16846126972669
73,Taze sebzeler (patates hariç),0.06567239464453
74,Taze sebzeler (patates hariç),0.23497239469348
75,Taze sebzeler (patates hariç),0.31289588236917004
76,Taze sebzeler (patates hariç),0.24106469698618
77,Taze sebzeler (patates hariç),0.036926852794969996
78,Taze sebzeler (patates hariç),0.68849100293501
79,Taze sebzeler (patates hariç),0.1693596789522
80,Taze sebzeler (patates hariç),0.06845860707201
81,Taze sebzeler (patates hariç),1.26459579047488
82,Taze sebzeler (patates hariç),0.24079972491902
83,Taze sebzeler (patates hariç),0.06876832900267
84,Patates,1.0684
85,Kuru baklagiller,0.39748069734173996
86,Kuru baklagiller,0.25173444176519
87,Kuru baklagiller,0.46658486089305995
88,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.11617410736635
89,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.13619728966246
90,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.79680884871337
91,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",1.82221991700029
92,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",0.63599983725751
93,Şeker,1.30561771520698
94,Şeker,0.20318228479300998
95,"Reçel, marmelat, bal vb. ürünler",0.11593864297636
96,"Reçel, marmelat, bal vb. ürünler",0.4990909735802
97,"Reçel, marmelat, bal vb. ürünler",0.17447910741386
98,"Reçel, marmelat, bal vb. ürünler",0.19094534478883998
99,"Reçel, marmelat, bal vb. ürünler",0.049145931240729995
100,Çikolata ve şekerlemeler,0.9574796756580999
101,Çikolata ve şekerlemeler,0.57639833305408
102,Çikolata ve şekerlemeler,0.24204462972272
103,Çikolata ve şekerlemeler,0.14463512258039
104,Çikolata ve şekerlemeler,0.55644223898468
105,Dondurma,0.471
106,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.53401731241438
107,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.14842899830700998
108,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.08421521585024999
109,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.11392626762624
110,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.1012243313232
111,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.07532448731104
112,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.19155315856787
113,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.14098435691934
114,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",0.09042587168065
115,Kahve,0.40900031214619
116,Kahve,0.2756996878538
117,Çay ve bitki çayları,2.4992072718409997
118,Çay ve bitki çayları,0.04149272815899
119,Toz kakao,0.01672726621847
120,Toz kakao,0.0048727337815243
121,Su ve maden suyu,1.2032692945766599
122,Su ve maden suyu,0.28843070542333
123,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.23350227680869
124,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.8500508376653599
125,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.10716035311621
126,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.18168653240972998
127,Meyve ve sebze suları,0.42810000000000004
