"Bülten Tarihi : 8.03.2025 (7.03.2025 Tarihli Veriler"
"Kullanılmıştır.)"
"KARALAHANA           KARALAHANA           Geleneksel(Konvansiyonel) 15,12    302678 Kg"
"KARAMBOLA            KARAMBOLA            Geleneksel(Konvansiyonel) 894,75   3       Kg"
"KARNABAHAR           DİĞER                Geleneksel(Konvansiyonel) 15,31    896624 Kg"
"KARNABAHAR           DİĞER                İyi Tarım                 19,45    5607    Kg"
"KARNABAHAR           DİĞER                Organik Tarım             71,33    622     Kg"
"KARPUZ               ÇEKİRDEKSİZ          Geleneksel(Konvansiyonel) 34,95    2066    Kg"
"KARPUZ               DİĞER                Geleneksel(Konvansiyonel) 8,72     1070224 Kg"
"KARPUZ               ÇEKİRDEKSİZ          İyi Tarım                 25,00    379     Kg"
"KAVUN                DİĞER                Geleneksel(Konvansiyonel) 24,99    51129 Kg"
"KAVUN                GALYA                Geleneksel(Konvansiyonel) 20,00    16      Kg"
"KAVUN                KIRKAĞAÇ             Geleneksel(Konvansiyonel) 26,31    1598    Kg"
"KAVUN                DİĞER                İyi Tarım                 8,99     508     Kg"
"KAYISI               DİĞER                Geleneksel(Konvansiyonel) 22,14    711     Kg"
"KAYISI               IĞDIR                Geleneksel(Konvansiyonel) 20,00    44      Kg"
"KAYISI               MUT                  Geleneksel(Konvansiyonel) 64,10    19786 Kg"
"KEKİK (YAŞ-TAZE)     KEKİK (YAŞ-TAZE)     Geleneksel(Konvansiyonel) 23,60    1522    Kg"
"KEKİK (YAŞ-TAZE)     KEKİK (YAŞ-TAZE)     İyi Tarım                 30,24    11638 Kg"
"KEREVİZ              KEREVİZ              Geleneksel(Konvansiyonel) 16,91    270051 Kg"
"KEREVİZ              KEREVİZ              İyi Tarım                 45,83    4268    Kg"
"KEREVİZ              KEREVİZ              Organik Tarım             70,00    254     Kg"
"KEREVİZ SAP          KEREVİZ SAP          Geleneksel(Konvansiyonel) 31,26    1248    Kg"
"KEREVİZ SAP          KEREVİZ SAP          İyi Tarım                 69,25    1241    Kg"
"KESTANE              KESTANE              Geleneksel(Konvansiyonel) 104,12   7770    Kg"
"KESTANE              KESTANE              İyi Tarım                 152,02   418     Kg"
"KIRMIZI LAHANA       KIRMIZI LAHANA       Geleneksel(Konvansiyonel) 26,00    500577 Kg"
"KIRMIZI LAHANA       KIRMIZI LAHANA       İyi Tarım                 28,75    14582 Kg"
"KIRMIZI LAHANA       KIRMIZI LAHANA       Organik Tarım             40,00    32      Kg"
"KIZILCIK             KIZILCIK             Geleneksel(Konvansiyonel) 10,00    61      Kg"
"KİRAZ                BURLENT              Geleneksel(Konvansiyonel) 20,00    50      Kg"
"KİRAZ                DİĞER                Geleneksel(Konvansiyonel) 38,30    200     Kg"
"KİRAZ                NAPOLYON             Geleneksel(Konvansiyonel) 20,00    51      Kg"
"KİRAZ                SALİHLİ              Geleneksel(Konvansiyonel) 80,00    126     Kg"
"KİŞNİŞ               KİŞNİŞ               Geleneksel(Konvansiyonel) 13,99    15560 Kg"
"KİŞNİŞ               KİŞNİŞ               İyi Tarım                 81,29    954     Kg"
"KİVANO               KİVANO               Geleneksel(Konvansiyonel) 60,00    48      Kg"
"KİVİ                 KİVİ                 Geleneksel(Konvansiyonel) 46,85    356333 Kg"
"KİVİ                 KİVİ                 İyi Tarım                 85,68    7216    Kg"
"KİVİ                 KİVİ                 Organik Tarım             120,00   23      Kg"
"KUŞKONMAZ            KUŞKONMAZ            Geleneksel(Konvansiyonel) 703,33   373     Kg"
"KUŞKONMAZ                 KUŞKONMAZ           İyi Tarım                 660,08    202     Kg"
"KUŞKONMAZ                 KUŞKONMAZ           Organik Tarım             570,00    28      Kg"
"KUZUKULAĞI                KUZUKULAĞI          Geleneksel(Konvansiyonel) 8,29      109521 Kg"
"KUZUKULAĞI                KUZUKULAĞI          İyi Tarım                 60,20     683     Kg"
"KUZUKULAĞI                KUZUKULAĞI          Organik Tarım             5,30      415     Kg"
"LABADA                    LABADA              Geleneksel(Konvansiyonel) 30,00     6       Kg"
"LİMON                     DİĞER               Geleneksel(Konvansiyonel) 16,39     5388123 Kg"
"LİMON                     ENTER               Geleneksel(Konvansiyonel) 19,02     72820 Kg"
"LİMON                     LEMAS               Geleneksel(Konvansiyonel) 18,15     543407 Kg"
"LİMON                     MAYER               Geleneksel(Konvansiyonel) 10,81     233196 Kg"
"LİMON                     YATAK               Geleneksel(Konvansiyonel) 10,49     22400 Kg"
"LİMON                     DİĞER               İyi Tarım                 17,95     175240 Kg"
"LİMON                     ENTER               İyi Tarım                 29,49     70      Kg"
"LİMON                     LEMAS               İyi Tarım                 29,88     36122 Kg"
"LİMON                     MAYER               İyi Tarım                 15,80     5157    Kg"
"LİMON                     YATAK               İyi Tarım                 27,74     527     Kg"
"LİMON                     DİĞER               Organik Tarım             14,08     123     Kg"
"LİMON                     ENTER               Organik Tarım             35,00     78      Kg"
"LİMON                     LEMAS               Organik Tarım             84,95     63      Kg"
"LİMON                     MAYER               Organik Tarım             48,89     432     Kg"
"LİMON OTU(LİMON"
"LİMON OTU (LİMON GRASS)                       Geleneksel(Konvansiyonel) 142,89    9       Kg"
"GRASS)"
"LİMON OTU(LİMON"
"LİMON OTU (LİMON GRASS)                       İyi Tarım                 101,19    200     Kg"
"GRASS)"
"MANDALİNA                 DİĞER               Geleneksel(Konvansiyonel) 19,92     5049317 Kg"
"MANDALİNA                 İZMİR               Geleneksel(Konvansiyonel) 41,84     101     Kg"
"MANDALİNA                 MİNOLA              Geleneksel(Konvansiyonel) 6,30      1500    Kg"
"MANDALİNA                 NOVA                Geleneksel(Konvansiyonel) 26,06     628     Kg"
"MANDALİNA                 RİZE                Geleneksel(Konvansiyonel) 7,99      15509 Kg"
"MANDALİNA                 DİĞER               İyi Tarım                 22,82     1607178 Kg"
"MANDALİNA                 DİĞER               Organik Tarım             45,31     1547    Kg"
"MANDALİNA KING            MANDALİNA KING      Geleneksel(Konvansiyonel) 5,66      77155 Kg"
"MANDALİNA KLEMANTIN       MANDALİNA KLEMANTIN Geleneksel(Konvansiyonel) 28,15     81      Kg"
"MANDALİNA SATSUMA         MANDALİNA SATSUMA Geleneksel(Konvansiyonel) 36,33       14351 Kg"
"MANDALİNA SATSUMA         MANDALİNA SATSUMA İyi Tarım                   23,69     1465    Kg"
"MANGO                     MANGO               Geleneksel(Konvansiyonel) 30,15     188645 Adet"
"MANGOSTAN                 MANGOSTAN           Geleneksel(Konvansiyonel) 1221,52   29      Kg"
"MANTAR                    MANTAR              Geleneksel(Konvansiyonel) 81,06     118442 Kg"
"MANTAR                    MANTAR              İyi Tarım                 97,60     131794 Kg"
"MANTAR                    MANTAR              Organik Tarım             100,00    600     Kg"
"MARUL GÖBEKLİ("
"MARUL GÖBEKLİ                                 Geleneksel(Konvansiyonel) 8,28      874476 Adet"
"YAĞLI-KOP SALAT)"
"MARUL GÖBEKLİ("
"MARUL GÖBEKLİ                                 İyi Tarım                 21,36     12520   Adet"
"YAĞLI-KOP SALAT)"
"MARUL ICEBERG             MARUL ICEBERG       Geleneksel(Konvansiyonel) 11,82     859322 Adet"
"MARUL ICEBERG             MARUL ICEBERG       İyi Tarım                 13,56     60477 Adet"
"MARUL KIVIRCIK            DİĞER               Geleneksel(Konvansiyonel) 12,91     1673980 Adet"
"KIVIRCIK (LOLOROSSO"
"MARUL KIVIRCIK                                Geleneksel(Konvansiyonel) 13,98     64915   Adet"
"Y.)"
"KIVIRCIK"
"MARUL KIVIRCIK                                Geleneksel(Konvansiyonel) 38,77     67525   Adet"
"KIRMIZI(LOLOROSSO)"
"MARUL KIVIRCIK            DİĞER               İyi Tarım                 45,36     25522   Adet"
"KIVIRCIK (LOLOROSSO"
"MARUL KIVIRCIK                                İyi Tarım                 17,42     8249    Adet"
"Y.)"
"KIVIRCIK"
"MARUL KIVIRCIK                                İyi Tarım                 12,65     1475    Adet"
"KIRMIZI(LOLOROSSO)"
"MARUL KIVIRCIK            DİĞER               Organik Tarım             31,85     559     Adet"
"MAYDANOZ                  MAYDANOZ            Geleneksel(Konvansiyonel) 6,42      2028799 Bağ"
"MAYDANOZ                  MAYDANOZ            İyi Tarım                 6,81      15065 Bağ"
"MAYDANOZ                  MAYDANOZ            Organik Tarım             15,00     120     Bağ"
"                             MELİSA (OĞUL OTU"
"MELİSA (OĞUL OTU YAŞ-TAZE)                       Geleneksel(Konvansiyonel) 17,55    404     Kg"
"YAŞ-TAZE)"
"MELİSA (OĞUL OTU"
"MELİSA (OĞUL OTU YAŞ-TAZE)                       İyi Tarım                60,00     36      Kg"
"YAŞ-TAZE)"
"MERCAN KÖŞK                  DİĞER               Geleneksel(Konvansiyonel) 40,00    1       Kg"
"MERCAN KÖŞK                  DİĞER               İyi Tarım                 69,29    7       Kg"
"MERCAN KÖŞK                  KUZU MAJARON        İyi Tarım                 68,57    14      Kg"
"MERSİN (YABAN"
"MERSİN(YABAN MERSİNİ)                            Geleneksel(Konvansiyonel) 347,25   21693   Kg"
"MERSİNİ)"
"MERSİN (YABAN"
"MERSİN(YABAN MERSİNİ)                            İyi Tarım                484,00    837     Kg"
"MERSİNİ)"
"MISIR TAZE                   MISIR TAZE          Geleneksel(Konvansiyonel) 8,65     1366    Adet"
"MİZUNA OTU                   MİZUNA OTU          Geleneksel(Konvansiyonel) 269,82   16      Adet"
"MİZUNA OTU                   MİZUNA OTU          İyi Tarım                 120,00   21      Adet"
"MUŞMULA                      MUŞMULA             Geleneksel(Konvansiyonel) 23,75    2214    Kg"
"MUZ                          DİĞER               Geleneksel(Konvansiyonel) 65,44    1433015 Kg"
