Tarih,Tarih,İşlenmemiş Gıda,Meyve Sebze Hariç İşlenmemiş Gıda,Taze Meyve-Sebze,İşlenmiş Gıda,Ekmek ve Diğer Tahıllar,Diğer İşlenmiş Gıda
2025-01-05,2025-01-05,112.81600015517044,108.65424865154822,117.4149116541776,104.66013623554306,107.32091044894908,104.06449214878764
2025-01-06,2025-01-06,112.81600015517044,108.65424865154822,117.4149116541776,104.66013623554306,107.32091044894908,104.06449214878764
2025-01-07,2025-01-07,113.31804606341069,108.65833847711929,118.52009405226052,104.75681866168283,107.55186392650339,104.13220737555093
2025-01-08,2025-01-08,114.5240470399607,108.96068689121007,120.81942107880701,104.79522654675316,107.55744944326597,104.17768319792438
2025-01-09,2025-01-09,117.35228580394103,109.75089191213709,126.11302904350244,105.02231475180228,107.76584143147606,104.40875425223629
2025-01-10,2025-01-10,116.9792563139856,109.9509679125441,125.04500715147991,105.09858954167946,107.76584143147606,104.50145671317355
2025-01-11,2025-01-11,116.81240100294421,110.18576092441273,124.39069700850116,105.18606113136082,107.76584143147606,104.60776748293921
2025-01-12,2025-01-12,116.62587377075636,110.1504686106755,124.02112890108374,105.23784038636019,107.76067990455776,104.67181143600993
2025-01-13,2025-01-13,116.80961075265985,110.45083361639882,124.06237730792809,105.43136107880069,107.76067990455776,104.90701161762179
2025-01-14,2025-01-14,116.48343659407054,110.72746366468277,123.00492650128953,105.6176011454503,107.76067990455776,105.13336310979027
2025-01-15,2025-01-15,116.11541595566948,110.63401151687913,122.30471286512744,105.88819432435231,107.76067990455776,105.46223525270206
2025-01-16,2025-01-16,115.55709152378498,110.6178778605001,121.08972133039933,106.14015859651393,108.77353886157832,105.55010884503059
2025-01-17,2025-01-17,115.16449511415792,110.6178778605001,120.22158950510926,106.48901327650184,110.32262948957431,105.64013696584983
2025-01-18,2025-01-18,115.00981156893468,110.6178778605001,119.87954432801627,106.70121043753943,110.32262948957431,105.89803605759114
2025-01-19,2025-01-19,115.00981156893468,110.6178778605001,119.87954432801627,106.72706633146394,110.32262948957431,105.9294606606664
2025-01-20,2025-01-20,114.96356446705234,110.53373232428136,119.87954432801627,106.90793240606219,110.32262948957431,106.14928073807748
2025-01-21,2025-01-21,114.67097982120438,110.42293535578523,119.36721872141109,106.93985274868284,110.32262948957431,106.18807591954779
2025-01-22,2025-01-22,114.9428669357988,110.69726043687703,119.63503678382867,107.0260334034585,110.32437830627401,106.29244070042645
2025-01-23,2025-01-23,115.10442093997932,110.69726043687703,119.99227431604498,107.07926246321678,110.32437830627401,106.35713396068869
2025-01-24,2025-01-24,112.51889723258348,110.21039134800951,114.86671983462541,107.98475820905385,111.00874534869561,107.310111276388
2025-01-25,2025-01-25,111.42603772980402,110.03500028863459,112.66328318482485,108.35980796249243,111.19094292670225,107.72665820299413
2025-01-26,2025-01-26,112.24693546392393,110.08385921533218,114.4191200779194,108.41084590260304,111.19094292670225,107.78868843155381
2025-01-27,2025-01-27,112.40367202608364,110.39454479013173,114.38812074320691,108.4734391000814,111.35863425611754,107.8286108529878
2025-01-28,2025-01-28,112.63956789888961,110.8666244870092,114.33601656688616,108.50799483570954,111.35863425611754,107.8706090248265
2025-01-29,2025-01-29,113.80403104490637,111.57017183194942,116.0559052492188,108.57744405084453,111.35863425611754,107.95501585391828
2025-01-30,2025-01-30,113.61507939189183,111.62608122276038,115.57013631856191,108.7231633730373,111.35863425611754,108.1321194525664
2025-01-31,2025-01-31,112.28127216985649,111.4763652436517,112.80269858150741,108.8317901019341,111.35863425611754,108.2641416463806
2025-02-01,2025-02-01,112.52146329744727,111.51343598660345,113.28877001839744,109.69028751212322,112.20101821865973,109.12593225080232
2025-02-02,2025-02-02,112.68152959237432,111.54805555227684,113.60064378334286,109.7160195297659,112.20101821865973,109.15720629776065
