,"Alkolsüz içecekler (meşrubat, ayran vb.)","Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",Dana eti,Diğer etler ve yenilebilir sakatatlar,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)","Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",Dondurma,Ekmek,Kahvaltılık tahıl ürünleri,Kahve,Konserve edilmiş veya işlenmiş balık,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",Kuru baklagiller,Kuru meyve ve sert kabuklu yemişler,Kuzu eti,Makarna çeşitleri,Margarin,Meyve ve sebze suları,Patates,Peynir,Pirinç,"Reçel, marmelat, bal vb. ürünler",Su ve maden suyu,Süt,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",Tavuk eti,Taze balık,Taze meyveler,Taze sebzeler (patates hariç),Tereyağı,Toz kakao,Un ve diğer tahıllar,Yumurta,Çay ve bitki çayları,Çikolata ve şekerlemeler,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",Şeker
2024-11-23,101.42275408255492,102.2299808570275,102.11745939921202,102.35122445501116,100.71542144731703,100.88275535622506,99.72681604126842,102.20553055906494,105.15962459924523,99.61681316708135,101.3442417807761,100.69906525060928,102.61173908194783,101.57887618265444,105.39598234804808,105.04433756620388,106.52220992721044,100.07856093153435,94.91311037917072,100.0100183822549,103.09832171997829,100.30141613744972,100.5703287477126,100.15154875194571,102.52973645303962,101.09617105384086,104.80042650872304,99.64090072089634,112.40583336625582,100.23904040440443,101.8769134224142,102.17298100883256,104.78041535526424,104.30478851338508,100.61338799586316,100.82565084641526,102.23388178727278
2024-11-24,100.72316145150586,102.2299808570275,102.11745939921202,102.35122445501116,100.6787233074548,100.51419638734134,99.72681604126842,102.07538822446878,105.15962459924523,99.61681316708135,101.3442417807761,100.82310674036712,102.61173908194783,101.57887618265444,105.39598234804808,105.33687063354779,106.52220992721044,99.80513516237528,94.91311037917072,100.0040336654576,103.09832171997829,100.30141613744972,100.51732281499363,100.25911483561521,102.52973645303962,100.97588802066669,104.80042650872304,99.6428294981918,112.40583336625592,100.23904040440443,101.8769134224142,102.17298100883256,104.78041535526424,104.30478851338508,100.26485236088185,100.91007626770816,101.85117964187134
2024-11-25,100.78456399834765,102.25134292955423,102.35845644999738,102.35122445501116,100.7765702007541,101.1157873129998,99.7268160356265,102.22167444328458,105.43337933774492,99.63441747286822,101.3442417807761,101.32177203362451,102.61173908194783,101.57887618265444,105.39598234804808,105.33687063354779,108.60324990780212,99.52002418989474,94.91311037917072,100.2312261260762,103.09959621361398,100.02679072592278,100.51732281499363,101.03346305862803,102.7278733772087,100.92827260564545,107.82964504859271,98.91359402190342,113.02051110082544,100.7312600880643,101.8769134224142,102.17298100883256,105.48310295872805,104.30478851338508,100.38880332192133,102.09530627235112,102.28680410441653
2024-11-26,100.85619701529262,102.38918734670568,103.26526132314962,104.57416043687782,100.7765702007541,101.11762254158818,100.90173027009288,102.4690318828655,105.59387435986322,100.12244318980605,101.3442417807761,101.3340274208883,102.61173908194783,101.57887618265444,105.1232909343436,105.42596175094587,109.01076679300958,99.41408138303926,99.26012169349772,100.40213980005824,103.09959621361398,100.25013990017855,100.59109546137472,101.03346305862803,102.5234886574107,102.12367991437226,107.62463611485084,99.5029682954302,112.66645735505479,100.7312600880643,101.8769134224142,102.17298100883256,105.72885571856918,104.30478851338508,100.65845890157723,102.41006129506303,102.58378417206701
2024-11-27,102.11447534824319,102.3395637513278,103.46478508883578,105.87163677937184,100.79203347478945,101.13009485591915,100.90173027009288,102.4690318828655,105.59387435986322,100.26705161050793,101.85231415184126,101.05381677932539,102.61173908194783,101.55292140916785,106.02624768853887,105.46179948174586,109.01076679300958,99.87715002938616,99.70597509645656,100.37183720850979,103.14687876175132,100.17342725299284,100.6494487708586,100.86556305516372,102.33463613932933,102.71896428476892,106.88252727006906,99.8393373491384,113.33704057574093,100.6481621998544,101.8769134224142,102.17298100883256,105.96942902335174,104.30478851338508,100.65848812828652,102.41006128448447,103.91372895105097
2024-11-28,102.09558116186099,102.33629662413071,103.4964205265869,106.15236693709984,100.79203347478945,101.14556436730872,100.90173027009288,102.4690318828655,105.59635479533556,100.10698227674897,101.80196402538697,101.02579733905989,102.61173908194783,101.62615972580926,106.49763258434206,105.46179948174586,109.73171468871827,99.8145616468305,99.70597509645656,100.41071676518966,103.2687116683937,100.15586774186922,100.66313973329525,100.86556305516372,102.33463613932933,102.8387323936118,107.86501566101214,99.04371664878876,112.39525640377752,100.6481621998544,101.8769134224142,102.17298100883256,106.53230485798065,104.1766257830213,100.73190606935312,102.41006073405615,103.91372895105097
2024-11-29,102.187915531212,102.40262066907924,103.6120574413315,106.31544811556222,100.91339628930909,101.27674241903088,101.12126175928051,102.60572328373492,105.71333471185392,100.25619133801644,101.87307566012258,101.06741269301551,102.69706831168975,101.6992315916769,106.59309594936572,105.55144833252068,109.85588374321028,99.90451205954427,99.8673762388873,100.50053612580825,103.37971148525315,100.24319582732373,100.7267659938205,101.01027299208964,102.40348442383147,102.89707921384318,108.18353405920035,99.18643426668702,112.58462899671883,100.76578694322764,102.00202210717728,102.22569333890806,106.64679804384454,104.27405259921044,100.80673339616315,102.52028844511445,103.98509103057667
2024-11-30,102.10113358025606,102.45027931608507,103.29558246199882,106.15236693709971,100.79203347478945,101.41734521531043,100.90173027009288,102.46903188286545,105.80408593996611,101.21085857610717,101.95777085351804,101.03067611425809,102.6117390819478,101.62615972580926,106.37271088772773,105.81385125918513,109.73171468871831,99.96494866263993,99.70597509645656,100.4547547981079,103.26871166839369,100.346815526712,100.66313973329525,101.6471259031135,102.6575548414455,103.16907929820172,108.8026323160079,99.57531451195689,112.62264339980608,100.6481621998544,101.87691342241423,102.17298100883256,106.53230485798065,104.17662578302136,101.22807108900649,102.47663546118417,103.91372895105097
2024-12-01,102.10045701077934,102.45027931608507,103.29638168275363,106.15236693709971,100.79629775257189,101.3505778276421,101.57337075864676,102.46903188286545,105.92518575949987,101.44554292176889,102.06092984974504,101.04846441284316,102.6117390819478,101.62615972580926,106.50443933588927,105.92527486993725,109.73171468871831,100.35293611108054,95.72796526074724,100.36374204248094,103.26871166839369,100.5398388309552,100.66313973329525,102.23675644393086,102.59737296804417,103.0795375904363,108.39968647036504,99.57531451195689,112.71984147781322,100.6481621998544,101.87691342241423,102.17298100883256,106.53230485798065,104.17662578302136,101.3671431170346,103.32549525338331,103.91372895105097
2024-12-02,102.10068940101647,102.44982735960475,103.2955832280426,108.62349776413838,100.79629775257189,101.30846681997613,101.57337075864676,102.46903188286545,106.17604511821366,101.87212321338556,103.1111284280937,101.12600119958853,102.6117390819478,101.79258508940356,106.50443933588927,105.92527486993725,110.27526272895736,100.54037783924296,100.58972073361412,100.76494880620686,103.47209730127042,100.52937677382772,100.73529103748461,102.60236801513922,102.59737296804417,103.0795375904363,108.198939618673,99.4921661712964,114.0150745949317,100.6481621998544,101.87691342241423,102.17298100883256,106.53230485798065,104.33059353631691,101.49160636830716,103.36340532725512,103.91372895105097
